year,metric,value
2024,staff_total,35253.0
2024,women_percent,37.0
2024,women_management_percent,34.0
2024,women_stem_percent,23.6
2024,turnover_total,21.4
2024,turnover_unwanted,7.7
2024,interns,2339.0
2024,pue_average,1.26
2024,co2_scope1_2_total_tons,395115.0
2024,water_withdrawal_megaliters,339.0
2024,waste_total_tons,2731.4
2024,rounding_users,1300000.0
2024,ngo_partners,676.0
2024,free_taxi_rides_for_ngo_thousands,520.0
2024,taxi_emissions_moscow_g_per_passenger_km,290.0
2024,co2_intensity_per_mwh,0.33
2023,staff_total,31101.0
2023,women_percent,36.0
2023,women_management_percent,33.0
2023,women_stem_percent,22.2
2023,turnover_total,18.6
2023,turnover_unwanted,3.4
2023,interns,2477.0
2023,pue_average,1.26
2023,co2_scope1_2_total_tons,301382.0
2023,water_withdrawal_megaliters,138.9
2023,waste_total_tons,2020.3
2023,rounding_users,1000000.0
2023,ngo_partners,500.0
2023,free_taxi_rides_for_ngo_thousands,450.0
2023,taxi_emissions_moscow_g_per_passenger_km,275.0
2023,co2_intensity_per_mwh,0.26
2022,staff_total,25431.0
2022,women_percent,35.0
2022,women_management_percent,32.0
2022,women_stem_percent,24.3
2022,turnover_total,20.7
2022,turnover_unwanted,5.7
2022,interns,1660.0
2022,pue_average,1.25
2022,co2_scope1_2_total_tons,264170.0
2022,water_withdrawal_megaliters,119.0
2022,waste_total_tons,3927.6
2022,rounding_users,800000.0
2022,ngo_partners,400.0
2022,free_taxi_rides_for_ngo_thousands,381.7
2022,taxi_emissions_moscow_g_per_passenger_km,277.0
2022,co2_intensity_per_mwh,0.26
2021,staff_total,21151.0
2021,women_percent,36.0
2021,women_management_percent,32.0
2021,women_stem_percent,23.3
2021,turnover_total,20.5
2021,turnover_unwanted,4.9
2021,interns,1706.0
2021,pue_average,1.26
2021,co2_scope1_2_total_tons,257281.0
2021,water_withdrawal_megaliters,124.3
2021,waste_total_tons,1017.8
2021,rounding_users,570000.0
2021,ngo_partners,250.0
2021,free_taxi_rides_for_ngo_thousands,150.0
2021,taxi_emissions_moscow_g_per_passenger_km,275.0
2021,co2_intensity_per_mwh,0.27
