date,revenue,net_income,ebitda,current_ratio,quick_ratio,cash_ratio,equity_ratio,roe,roa,ros,debt_to_equity
2021-03-31,73136,-4256,10426,3.478,2.23,0.26,0.63,-0.0122,-0.0077,-0.0582,0.245
2021-06-30,81402,-4664,5780,3.298,2.24,0.39,0.62,-0.0134,-0.0084,-0.0573,0.237
2021-09-30,91305,-3908,5622,1.976,1.36,0.41,0.53,-0.0143,-0.0076,-0.0428,0.306
2021-12-31,110328,-2861,9720,1.800,1.22,0.73,0.53,-0.0105,-0.0056,-0.0259,0.316
2022-03-31,106010,-13037,1271,0.836,0.30,0.43,0.49,-0.0522,-0.0255,-0.1230,0.418
2022-06-30,117748,8056,25694,1.258,1.07,0.33,0.58,0.0286,0.0167,0.0684,0.177
2022-09-30,133163,45541,20003,1.336,1.15,0.30,0.58,0.1394,0.0809,0.3420,0.156
2022-12-31,164778,7055,17173,1.277,0.97,0.51,0.55,0.0209,0.0114,0.0428,0.151
2023-03-31,163275,5785,12794,1.228,0.98,0.44,0.52,0.0168,0.0087,0.0354,0.208
2023-06-30,182495,14631,24746,0.922,0.72,0.28,0.45,0.0496,0.0224,0.0802,0.314
2023-09-30,204769,7681,26528,0.824,0.66,0.29,0.30,0.0285,0.0085,0.0375,0.719
2023-12-31,249586,-6322,32903,0.894,0.83,0.28,0.38,-0.0213,-0.0080,-0.0253,0.478
2024-03-31,228314,19376,37601,0.820,0.70,0.23,0.36,0.0720,0.0260,0.0849,0.500
2024-06-30,249315,-31754,47605,0.760,0.66,0.25,0.33,-0.1170,-0.0380,-0.1274,0.530
2024-09-30,276800,7600,54700,0.820,0.73,0.29,0.30,0.0280,0.0080,0.0275,0.720
2024-12-31,340100,15500,48700,0.830,0.75,0.35,0.27,0.0530,0.0140,0.0456,0.880
