date,close,volume
2021-01-04,"5,185.2",574.36K
2021-01-05,"5,340.4",688.43K
2021-01-06,"5,188.8",807.87K
2021-01-08,"5,254.2",892.39K
2021-01-11,"5,214.2",797.51K
2021-01-12,"5,121.8",626.67K
2021-01-13,"5,079.8",555.19K
2021-01-14,"5,077.4",740.66K
2021-01-15,"4,998.0",796.91K
2021-01-18,"5,043.6",535.64K
2021-01-19,"5,008.8",647.15K
2021-01-20,"5,170.0",819.82K
2021-01-21,"5,069.0",1.03M
2021-01-22,"5,015.8",577.59K
2021-01-25,"4,901.8",1.25M
2021-01-26,"4,898.2",1.03M
2021-01-27,"4,828.4",1.03M
2021-01-28,"4,876.2",480.17K
2021-01-29,"4,760.6",809.64K
2021-02-01,"4,847.4",574.36K
2021-02-02,"4,997.0",846.85K
2021-02-03,"4,917.2",674.48K
2021-02-04,"5,016.6",686.79K
2021-02-05,"4,973.6",587.10K
2021-02-08,"5,060.4",556.34K
2021-02-09,"5,147.2",787.38K
2021-02-10,"5,306.0",1.51M
2021-02-11,"5,361.6",912.53K
2021-02-12,"5,448.0",1.04M
2021-02-15,"5,478.0",576.53K
2021-02-16,"5,348.0",1.16M
2021-02-17,"5,187.0",1.37M
2021-02-18,"5,007.8",1.18M
2021-02-19,"5,005.0",1.45M
2021-02-20,"5,064.0",201.59K
2021-02-22,"4,918.0",909.14K
2021-02-24,"4,928.2",1.00M
2021-02-25,"4,857.4",907.42K
2021-02-26,"4,813.2",1.44M
2021-03-01,"5,004.6",1.09M
2021-03-02,"5,027.0",684.76K
2021-03-03,"4,890.2",1.02M
2021-03-04,"4,718.2",1.34M
2021-03-05,"4,722.8",1.44M
2021-03-09,"4,707.6",1.51M
2021-03-10,"4,692.0",1.12M
2021-03-11,"4,889.8",941.72K
2021-03-12,"4,960.4",758.28K
2021-03-15,"5,039.0",1.14M
2021-03-16,"5,161.8",1.55M
2021-03-17,"5,037.6",1.87M
2021-03-18,"4,858.0",1.79M
2021-03-19,"4,880.0",1.16M
2021-03-22,"4,891.0",539.54K
2021-03-23,"4,906.0",670.15K
2021-03-24,"4,850.0",845.69K
2021-03-25,"4,741.0",1.12M
2021-03-26,"4,785.0",799.22K
2021-03-29,"4,830.0",620.51K
2021-03-30,"4,788.0",715.67K
2021-03-31,"4,859.0",1.12M
2021-04-01,"4,949.2",833.32K
2021-04-02,"4,935.0",294.63K
2021-04-05,"4,940.0",409.41K
2021-04-06,"4,961.8",692.23K
2021-04-07,"4,845.2",667.10K
2021-04-08,"4,888.0",701.15K
2021-04-09,"4,813.0",469.51K
2021-04-12,"4,854.8",627.58K
2021-04-13,"4,600.0",3.82M
2021-04-14,"4,661.0",2.83M
2021-04-15,"4,677.8",990.28K
2021-04-16,"4,690.0",554.05K
2021-04-19,"4,663.8",953.98K
2021-04-20,"4,665.6",797.70K
2021-04-21,"4,648.0",423.74K
2021-04-22,"4,605.0",851.86K
2021-04-23,"4,570.2",831.85K
2021-04-26,"4,703.6",1.11M
2021-04-27,"4,732.0",994.40K
2021-04-28,"4,834.8",2.01M
2021-04-29,"5,040.0",1.77M
2021-04-30,"4,934.8",1.32M
2021-05-04,"4,802.2",989.90K
2021-05-05,"4,864.4",698.85K
2021-05-06,"4,828.6",771.88K
2021-05-07,"4,831.6",515.20K
2021-05-10,"4,702.8",679.64K
2021-05-11,"4,678.0",1.21M
2021-05-12,"4,601.0",964.74K
2021-05-13,"4,638.4",837.17K
2021-05-14,"4,687.0",504.12K
2021-05-17,"4,704.2",537.82K
2021-05-18,"4,740.0",969.07K
2021-05-19,"4,741.6",595.52K
2021-05-20,"4,750.8",549.43K
2021-05-21,"4,767.2",636.09K
2021-05-24,"4,891.8",785.79K
2021-05-25,"4,897.8",489.86K
2021-05-26,"4,995.4",728.71K
2021-05-27,"4,962.2",1.12M
2021-05-28,"4,945.0",363.85K
2021-05-31,"4,942.0",231.56K
2021-06-01,"4,933.0",581.86K
2021-06-02,"4,948.0",680.11K
2021-06-03,"4,901.8",454.19K
2021-06-04,"4,923.4",534.92K
2021-06-07,"4,911.4",322.09K
2021-06-08,"4,889.6",429.53K
2021-06-09,"4,973.0",843.31K
2021-06-10,"5,005.8",510.65K
2021-06-11,"5,056.8",871.89K
2021-06-14,"5,090.0",214.83K
2021-06-15,"4,925.0",559.26K
2021-06-16,"4,962.8",534.85K
2021-06-17,"5,041.4",642.80K
2021-06-18,"5,047.0",868.60K
2021-06-21,"5,008.4",492.24K
2021-06-22,"5,007.0",367.40K
2021-06-23,"5,040.0",320.10K
2021-06-24,"5,033.0",375.93K
2021-06-25,"5,088.0",363.61K
2021-06-28,"5,099.8",337.76K
2021-06-29,"5,084.6",486.82K
2021-06-30,"5,176.6",861.12K
2021-07-01,"5,168.6",380.96K
2021-07-02,"5,216.0",339.36K
2021-07-05,"5,212.4",192.21K
2021-07-06,"5,247.4",476.79K
2021-07-07,"5,341.4",1.00M
2021-07-08,"5,354.2",619.53K
2021-07-09,"5,235.8",625.38K
2021-07-12,"5,281.0",349.94K
2021-07-13,"5,256.8",374.36K
2021-07-14,"5,177.8",382.86K
2021-07-15,"5,188.0",313.64K
2021-07-16,"5,150.0",345.08K
2021-07-19,"5,109.0",545.85K
2021-07-20,"5,095.4",332.92K
2021-07-21,"5,151.2",260.07K
2021-07-22,"5,165.8",381.26K
2021-07-23,"5,196.4",304.41K
2021-07-26,"5,155.2",669.65K
2021-07-27,"5,035.2",740.15K
2021-07-28,"5,076.8",695.68K
2021-07-29,"5,034.6",505.88K
2021-07-30,"4,970.4",955.25K
2021-08-02,"4,938.0",353.81K
2021-08-03,"4,934.0",445.19K
2021-08-04,"4,989.6",479.60K
2021-08-05,"4,995.0",377.02K
2021-08-06,"4,971.2",393.79K
2021-08-09,"4,971.0",268.76K
2021-08-10,"4,966.2",276.42K
2021-08-11,"5,036.4",453.41K
2021-08-12,"4,984.4",370.18K
2021-08-13,"4,975.0",214.78K
2021-08-16,"5,093.0",582.13K
2021-08-17,"5,065.2",538.03K
2021-08-18,"5,055.2",295.03K
2021-08-19,"5,065.6",506.13K
2021-08-20,"5,061.0",287.27K
2021-08-23,"5,104.0",304.46K
2021-08-24,"5,159.0",372.51K
2021-08-25,"5,129.6",248.44K
2021-08-26,"5,219.0",399.22K
2021-08-27,"5,308.0",594.23K
2021-08-30,"5,352.4",570.61K
2021-08-31,"5,615.0",1.52M
2021-09-01,"5,699.6",1.06M
2021-09-02,"5,636.4",710.45K
2021-09-03,"5,732.6",525.49K
2021-09-06,"5,804.0",382.78K
2021-09-07,"5,690.8",618.95K
2021-09-08,"5,712.6",543.56K
2021-09-09,"5,735.0",411.47K
2021-09-10,"5,868.4",450.41K
2021-09-13,"5,939.2",517.43K
2021-09-14,"5,973.0",533.97K
2021-09-15,"5,892.0",504.50K
2021-09-16,"5,872.0",659.65K
2021-09-17,"5,828.4",543.40K
2021-09-20,"5,785.0",494.75K
2021-09-21,"5,771.8",379.84K
2021-09-22,"5,755.0",382.83K
2021-09-23,"5,885.0",354.54K
2021-09-24,"5,850.4",272.78K
2021-09-27,"5,949.2",694.58K
2021-09-28,"5,788.0",509.47K
2021-09-29,"5,762.4",351.70K
2021-09-30,"5,804.6",501.15K
2021-10-01,"5,766.4",334.12K
2021-10-04,"5,504.0",937.34K
2021-10-05,"5,594.2",932.26K
2021-10-06,"5,694.2",765.04K
2021-10-07,"5,705.2",756.52K
2021-10-08,"5,701.6",498.07K
2021-10-11,"5,622.2",446.34K
2021-10-12,"5,549.0",491.85K
2021-10-13,"5,553.8",483.99K
2021-10-14,"5,518.0",578.24K
2021-10-15,"5,427.2",591.16K
2021-10-18,"5,488.8",349.72K
2021-10-19,"5,480.0",498.59K
2021-10-20,"5,420.2",414.09K
2021-10-21,"5,390.0",364.88K
2021-10-22,"5,325.8",445.07K
2021-10-25,"5,383.0",429.57K
2021-10-26,"5,309.6",441.08K
2021-10-27,"5,573.8",1.33M
2021-10-28,"5,823.0",1.47M
2021-10-29,"5,879.2",1.10M
2021-11-01,"5,890.0",575.55K
2021-11-02,"5,942.4",434.45K
2021-11-03,"6,027.0",552.13K
2021-11-05,"6,120.0",794.84K
2021-11-08,"6,161.0",626.07K
2021-11-09,"5,990.4",475.17K
2021-11-10,"5,857.8",554.65K
2021-11-11,"5,966.6",457.51K
2021-11-12,"5,970.2",870.73K
2021-11-15,"5,928.4",498.50K
2021-11-16,"5,936.4",391.61K
2021-11-17,"5,931.6",317.22K
2021-11-18,"5,993.8",323.15K
2021-11-19,"5,968.8",668.26K
2021-11-22,"5,450.0",2.34M
2021-11-23,"5,571.0",1.53M
2021-11-24,"5,542.2",1.01M
2021-11-25,"5,552.8",339.37K
2021-11-26,"5,380.0",1.25M
2021-11-29,"5,407.0",1.15M
2021-11-30,"5,359.4",1.63M
2021-12-01,"5,330.8",617.16K
2021-12-02,"5,255.0",955.37K
2021-12-03,"5,100.6",880.16K
2021-12-06,"5,068.0",820.38K
2021-12-07,"4,992.0",978.82K
2021-12-08,"4,932.2",1.05M
2021-12-09,"4,853.6",897.65K
2021-12-10,"4,664.0",1.10M
2021-12-13,"4,560.0",1.41M
2021-12-14,"4,586.4",1.15M
2021-12-15,"4,511.6",826.88K
2021-12-16,"4,609.6",1.82M
2021-12-17,"4,630.2",1.11M
2021-12-20,"4,474.8",772.84K
2021-12-21,"4,578.8",630.01K
2021-12-22,"4,488.4",916.73K
2021-12-23,"4,410.6",801.73K
2021-12-24,"4,424.8",553.63K
2021-12-27,"4,467.8",597.51K
2021-12-28,"4,482.0",698.08K
2021-12-29,"4,418.8",887.14K
2021-12-30,"4,569.4",755.80K
2022-01-03,"4,515.2",848.84K
2022-01-04,"4,479.8",906.79K
2022-01-05,"4,275.0",990.79K
2022-01-06,"4,226.6",1.18M
2022-01-10,"4,196.4",1.49M
2022-01-11,"4,338.2",1.68M
2022-01-12,"4,393.2",1.49M
2022-01-13,"4,168.0",1.98M
2022-01-14,"3,938.6",3.33M
2022-01-17,"4,075.6",1.91M
2022-01-18,"3,769.0",2.67M
2022-01-19,"3,701.8",3.63M
2022-01-20,"3,669.2",2.68M
2022-01-21,"3,490.0",2.99M
2022-01-24,"3,345.0",4.85M
2022-01-25,"3,409.2",3.46M
2022-01-26,"3,364.8",3.25M
2022-01-27,"3,405.2",4.04M
2022-01-28,"3,448.4",3.40M
2022-01-31,"3,717.6",2.66M
2022-02-01,"3,724.0",3.35M
2022-02-02,"3,675.0",2.71M
2022-02-03,"3,517.0",2.42M
2022-02-04,"3,502.4",2.12M
2022-02-07,"3,468.0",1.25M
2022-02-08,"3,624.2",1.92M
2022-02-09,"3,763.0",2.12M
2022-02-10,"3,805.0",2.90M
2022-02-11,"3,429.8",3.93M
2022-02-14,"3,471.4",4.80M
2022-02-15,"3,953.2",7.83M
